# id                    Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21    phi31    meanmag   cost     phcov   phcov2   snr      Npt   order   minmax   phaseshift   id_2                  Nep_rv   totamp_rv   A1_rv     A2_rv    A3_rv    phi1_rv   phi2_rv   phi3_rv   phi21_rv   phi31_rv   mean_rv    cost_rv   phcov_rv   snr_rv    Npt_rv   order_rv   minmax_rv   remark  
  949914244660427136    20    0.617714   0.383    0.157   0.062   0.022   1.392    5.458    -2.706   8.9566   5.6833   12.758    1.0E-4   0.822   0.794    1620.1   20    4       0.384    0.222        949914244660427136    12       67.482      22.479    13.724   5.215    0.241     3.462     1.59      9.2639     7.1514     -253.444   0.9692    0.718      112.3     12       3          62.902      1       
  234108363683247616    43    0.425552   0.8      0.266   0.149   0.087   1.428    5.502    -2.695   8.9292   5.5875   10.277    0.0016   0.874   0.841    1182.1   43    6       0.8      0.227        234108363683247616    12       72.764      28.299    12.691   7.026    0.014     2.746     -0.906    9.0013     5.3356     2.895      4.0E-4    0.758      19939.3   12       5          60.688      1       
  6881503013761407360   35    0.476304   1.026    0.418   0.187   0.097   1.623    5.608    -2.699   8.6451   4.9988   13.441    0.0522   0.908   0.831    84.1     35    5       1.128    0.258        6881503013761407360   9        111.67      20.192    19.287   21.546   -1.313    2.71      2.515     11.618     6.4528     -131.489   0.0       0.723      776.4     9        6          62.952      0       
  6722610290634165504   25    0.558523   0.95     0.351   0.153   0.089   -1.468   5.664    0.584    8.6007   4.9884   13.549    0.0085   0.829   0.871    437.0    25    4       0.985    -0.234       6722610290634165504   9        230.062     34.569    62.322   14.34    -2.093    1.056     -0.168    11.5256    6.1123     -110.084   0.0       0.828      6417.9    9        6          208.019     0       
  6670386026631444352   29    0.579506   0.811    0.325   0.146   0.069   -0.841   0.732    2.468    8.6971   4.9917   12.155    0.0348   0.9     0.837    72.0     29    4       1.005    -0.134       6670386026631444352   12       33.837      16.679    1.434    0.166    -0.557    1.237     1.0       8.6339     8.9528     -67.238    2.4214    0.775      18.7      12       3          44.334      0       
  6660781556341189888   36    0.482103   0.82     0.288   0.148   0.08    2.165    0.56     -0.624   8.7966   5.4476   12.194    0.0046   0.852   0.894    358.2    36    5       0.819    0.345        6660781556341189888   10       42.166      20.177    4.29     0.621    -0.478    0.561     -3.179    7.8006     4.5385     75.401     0.0592    0.699      907.3     10       3          40.201      1       
  6483680332235888896   47    0.4796     1.057    0.354   0.161   0.124   2.839    1.786    1.037    8.6747   5.0874   9.916     0.0146   0.91    0.923    741.5    47    6       1.076    0.452        6483680332235888896   12       58.765      26.531    8.921    4.15     -0.214    2.336     -1.414    9.0475     5.5111     202.428    4.2367    0.762      84.3      12       3          49.502      1       
  6322601191571653504   28    0.778894   0.373    0.154   0.052   0.014   0.851    4.69     2.653    9.272    6.3837   10.979    4.0E-4   0.834   0.806    591.8    28    5       0.376    0.135        6322601191571653504   12       40.238      18.083    4.613    2.411    0.066     2.997     -0.852    9.1492     5.2342     -169.301   0.213     0.728      219.3     12       4          39.035      1       
  6321036891467501952   23    0.607441   0.49     0.187   0.082   0.047   1.751    -0.073   -1.526   8.9917   5.7881   12.46     6.0E-4   0.85    0.818    575.9    23    4       0.485    0.279        6321036891467501952   12       55.366      15.625    14.526   7.098    -0.358    1.669     -1.11     8.6684     6.248      35.398     1.373     0.778      93.6      12       3          54.393      0       
  6120897123486850944   22    0.492769   0.687    0.323   0.106   0.04    2.493    0.688    -0.145   8.2684   4.9426   11.222    0.0341   0.796   0.875    39.1     22    4       0.931    0.397        6120897123486850944   12       53.697      25.206    4.893    3.01     -0.287    1.473     -2.58     8.33       4.5641     131.988    3.316     0.764      22.1      12       3          68.388      0       
  6032624374347852160   48    0.550187   0.852    0.309   0.156   0.091   2.804    2.061    1.658    9.0192   5.8116   12.359    0.0012   0.922   0.882    1684.0   48    6       0.863    0.446        6032624374347852160   11       65.192      22.066    13.909   5.527    -0.31     2.099     -1.546    9.003      5.6676     -69.792    1.4396    0.739      76.1      11       6          63.721      1       
  6005656897473385600   41    0.48417    0.361    0.15    0.057   0.023   -2.189   4.749    -0.693   9.1276   5.8752   8.912     8.0E-4   0.849   0.873    749.2    41    5       0.359    -0.348       6005656897473385600   11       39.642      17.814    5.7      1.426    -0.015    2.796     -0.345    9.1091     5.9832     5.661      0.0668    0.736      1888.4    11       3          33.214      1       
  5947570591534602240   36    0.451883   1.298    0.41    0.202   0.156   -2.183   4.172    -1.689   8.5383   4.8608   10.701    0.0231   0.886   0.9      261.4    36    6       1.261    -0.347       5947570591534602240   11       61.552      27.799    9.806    3.32     -0.424    2.102     -1.829    9.2327     5.7252     189.029    0.176     0.607      416.3     11       4          34.97       1       
  5903483783039264640   35    0.600566   0.542    0.204   0.096   0.064   -0.187   2.167    -1.454   8.8245   5.3915   11.86     0.0094   0.901   0.9      208.6    35    4       0.532    -0.03        5903483783039264640   11       41.191      18.961    5.176    3.318    -0.593    0.734     -3.038    8.2039     5.025      344.439    1.2929    0.734      61.0      11       3          44.168      1       
  4421376120621796992   24    0.526788   0.855    0.353   0.133   0.082   -0.262   1.867    -2.045   8.6737   5.0239   12.341    0.0118   0.861   0.841    189.4    24    4       0.837    -0.042       4421376120621796992   10       106.012     21.197    23.792   15.927   -1.307    2.321     1.115     11.2177    5.0351     3.838      9.0E-4    0.769      1447.9    10       4          90.578      0       
  4289330997563388928   30    0.712428   0.461    0.182   0.08    0.038   -2.911   3.563    -2.655   9.3838   6.0764   13.232    0.0067   0.896   0.894    123.0    30    4       0.48     -0.463       4289330997563388928   13       0.11        0.031     0.015    0.01     0.059     0.069     0.089     6.2341     6.1961     -67.714    13.1333   0.729      0.0       13       3          205.593     r       
